epoch,w0,w1,w2,w3,wg0,wg1,wg2,wg3,loss,loss_kl,loss_mse
1.2900e+02,1.0956e+00,8.3510e-01,7.3660e-01,9.0414e-01,-7.7385e-01,3.2434e-01,1.4960e+00,-1.4471e-02,1.4631e+01,9.6293e-01,1.3668e+01
1.3000e+02,1.0963e+00,8.3478e-01,7.3510e-01,9.0415e-01,-3.1735e+00,6.4758e+00,2.1542e+00,9.0714e-01,2.3708e+01,9.6260e-01,2.2745e+01
1.3100e+02,1.0995e+00,8.2830e-01,7.3295e-01,9.0325e-01,-1.4380e+00,1.3539e+00,1.1616e+00,-5.4198e-02,1.5679e+01,9.6262e-01,1.4716e+01
1.3200e+02,1.1010e+00,8.2695e-01,7.3179e-01,9.0330e-01,7.4542e-02,-2.2534e-01,1.5813e+00,4.6690e-02,1.3558e+01,9.6304e-01,1.2595e+01
1.3300e+02,1.1009e+00,8.2717e-01,7.3021e-01,9.0325e-01,-1.8517e+00,2.2629e+00,1.4889e+00,-1.3018e-02,1.7273e+01,9.6184e-01,1.6311e+01
1.3400e+02,1.1027e+00,8.2491e-01,7.2872e-01,9.0327e-01,-2.7160e+00,4.8185e+00,1.5512e+00,2.7890e-02,2.0356e+01,9.6225e-01,1.9393e+01
1.3500e+02,1.1054e+00,8.2009e-01,7.2717e-01,9.0324e-01,-1.3197e+00,1.1468e+00,3.5204e-01,1.0206e+00,1.5349e+01,9.6296e-01,1.4386e+01
1.3600e+02,1.1068e+00,8.1895e-01,7.2681e-01,9.0222e-01,-1.1462e-01,-1.7728e-01,2.4354e+00,1.6721e+00,1.6253e+01,9.6358e-01,1.5289e+01
1.3700e+02,1.1069e+00,8.1912e-01,7.2438e-01,9.0055e-01,-1.5949e+00,1.6957e+00,2.1231e+00,8.6766e-01,1.8108e+01,9.6146e-01,1.7146e+01
1.3800e+02,1.1085e+00,8.1743e-01,7.2226e-01,8.9968e-01,5.5570e-01,-1.7144e-01,1.6723e+00,1.3984e-01,1.3381e+01,9.6102e-01,1.2420e+01
1.3900e+02,1.1079e+00,8.1760e-01,7.2058e-01,8.9954e-01,-1.0925e+00,7.7047e-01,2.5991e+00,2.2241e+00,1.8630e+01,9.5920e-01,1.7671e+01
1.4000e+02,1.1090e+00,8.1683e-01,7.1798e-01,8.9731e-01,-1.6246e+00,1.7669e+00,1.8266e+00,3.3872e-01,1.7373e+01,9.5767e-01,1.6416e+01
